,ask_exchange,ask_price,ask_size,bid_exchange,bid_price,bid_size,participant_timestamp,sequence_number,sip_timestamp
3008,325,0.01,363,304,0,0,0,328306682,1684858102732140544
3009,325,0.01,394,302,0,0,0,322601614,1684857882035725568
3010,325,0.01,347,302,0,0,0,312733588,1684857439947059456
3011,325,0.01,394,312,0,0,0,310109157,1684857352637757696
3012,325,0.01,394,312,0,0,0,307865456,1684857274225989120
3013,325,0.01,423,309,0,0,0,306691818,1684857226313376512
3014,325,0.01,344,309,0,0,0,306186758,1684857205330948608
3015,325,0.01,347,313,0,0,0,305958953,1684857194084110848
3016,325,0.01,375,322,0,0,0,305452891,1684857180892579328
3017,325,0.01,344,309,0,0,0,305432741,1684857180750695936
3018,325,0.01,344,313,0,0,0,305188416,1684857169951682304
3019,325,0.01,375,309,0,0,0,304982461,1684857157720606720
3020,325,0.01,375,309,0,0,0,304437565,1684857128810686720
3021,325,0.01,347,313,0,0,0,304344056,1684857125099682816
3022,325,0.01,347,313,0,0,0,303504239,1684857102073298432
3023,325,0.01,344,301,0,0,0,303395776,1684857100388076288
3024,325,0.01,347,301,0,0,0,303275981,1684857097929071616
3025,325,0.01,344,316,0,0,0,303156055,1684857097148298752
3026,325,0.01,347,309,0,0,0,303004747,1684857095027601408
3027,325,0.01,316,319,0,0,0,301764695,1684857068943383040
3028,325,0.01,347,309,0,0,0,300231375,1684857018829089792
3029,325,0.01,344,309,0,0,0,299535640,1684856992422282752
3030,325,0.01,316,312,0,0,0,298890393,1684856950785471232
3031,325,0.01,316,304,0,0,0,298577361,1684856938803283712
3032,325,0.01,347,313,0,0,0,298495259,1684856934470668544
3033,325,0.01,347,313,0,0,0,298461030,1684856934285733120
3034,325,0.01,344,312,0,0,0,297979260,1684856917378866432
3035,325,0.01,347,313,0,0,0,297602119,1684856901831111680
3036,325,0.01,344,309,0,0,0,296291814,1684856855684442112
3037,325,0.01,347,313,0,0,0,296192843,1684856854481724928
3038,325,0.01,375,300,0,0,0,295820343,1684856845288481792
3039,325,0.01,375,312,0,0,0,295278528,1684856827559046400
3040,325,0.01,347,300,0,0,0,295207126,1684856827065013248
3041,325,0.01,375,309,0,0,0,294820833,1684856813721886208
3042,325,0.01,375,312,0,0,0,294216727,1684856799093910784
3043,325,0.01,375,309,0,0,0,292867585,1684856761209895168
3044,325,0.01,375,308,0,0,0,292661389,1684856758980657408
3045,325,0.01,347,309,0,0,0,292189676,1684856751892886272
3046,325,0.01,344,301,0,0,0,292097294,1684856750991726080
3047,325,0.01,347,309,0,0,0,292009713,1684856749063069184
3048,325,0.01,347,313,0,0,0,291485057,1684856735241046016
3049,325,0.01,347,322,0,0,0,290448385,1684856687975138816
3050,325,0.01,347,309,0,0,0,290276025,1684856684641664768
3051,325,0.01,347,309,0,0,0,290057639,1684856682893091584
3052,325,0.01,347,309,0,0,0,288908471,1684856647157472768
3053,325,0.01,347,313,0,0,0,288712180,1684856645296417280
3054,325,0.01,375,309,0,0,0,288546456,1684856641673965568
3055,325,0.01,375,313,0,0,0,288262159,1684856628385761280
3056,325,0.01,375,309,0,0,0,287976608,1684856612451820032
3057,325,0.01,347,304,0,0,0,286723905,1684856558733722624
3058,325,0.01,344,309,0,0,0,286468308,1684856546456066048
3059,325,0.01,347,313,0,0,0,285909667,1684856518898411776
3060,325,0.01,375,309,0,0,0,284738399,1684856451020425984
3061,325,0.01,344,313,0,0,0,284651544,1684856448000482560
3062,325,0.01,347,315,0,0,0,283742118,1684856409580392448
3063,325,0.01,347,313,0,0,0,283412667,1684856398370483968
3064,325,0.01,375,313,0,0,0,282995828,1684856390858025472
3065,325,0.01,375,309,0,0,0,282185155,1684856352727371264
3066,325,0.01,344,313,0,0,0,282064560,1684856346368602624
3067,325,0.01,347,302,0,0,0,281238232,1684856299720971008
3068,325,0.01,347,308,0,0,0,279977244,1684856252312866816
3069,325,0.01,347,313,0,0,0,279764100,1684856244877026560
3070,325,0.01,375,309,0,0,0,279394493,1684856237462905856
3071,325,0.01,347,300,0,0,0,278355160,1684856205514843136
3072,325,0.01,375,301,0,0,0,277930374,1684856180159771392
3073,325,0.01,375,309,0,0,0,277574684,1684856160776217344
3074,325,0.01,347,300,0,0,0,277189653,1684856151215574784
3075,325,0.01,347,316,0,0,0,276957873,1684856145647648512
3076,325,0.01,375,309,0,0,0,276445912,1684856138997157376
3077,325,0.01,375,302,0,0,0,276400150,1684856138562849024
3078,325,0.01,375,313,0,0,0,276336968,1684856138151204864
3079,325,0.01,344,300,0,0,0,276282138,1684856137343651072
3080,325,0.01,316,309,0,0,0,276019513,1684856129204348672
3081,325,0.01,316,309,0,0,0,275941364,1684856126927280640
3082,325,0.01,375,313,0,0,0,275086056,1684856104623254016
3083,325,0.01,344,309,0,0,0,275002977,1684856101930960640
3084,325,0.01,347,309,0,0,0,274415497,1684856056694059520
3085,325,0.01,347,313,0,0,0,274324637,1684856050839882496
3086,325,0.01,347,313,0,0,0,274001463,1684856038438961408
3087,325,0.01,344,301,0,0,0,273637002,1684856013192440832
3088,325,0.01,347,313,0,0,0,273472878,1684855997431252480
3089,325,0.01,344,309,0,0,0,273449028,1684855997298350336
3090,325,0.01,347,301,0,0,0,272394601,1684855927912912896
3091,325,0.01,375,309,0,0,0,272051171,1684855906519093248
3092,325,0.01,347,301,0,0,0,271739313,1684855890276578304
3093,325,0.01,316,319,0,0,0,271705834,1684855890127223040
3094,325,0.01,347,313,0,0,0,271490990,1684855877895912704
3095,325,0.01,347,313,0,0,0,271089944,1684855855195137280
3096,325,0.01,347,309,0,0,0,270860581,1684855847362134784
3097,325,0.01,347,313,0,0,0,270160927,1684855810884430336
3098,325,0.01,375,303,0,0,0,269116752,1684855756204958208
3099,325,0.01,344,303,0,0,0,269078932,1684855756008522496
3100,325,0.01,347,313,0,0,0,268677670,1684855740343003648
3101,325,0.01,347,313,0,0,0,268198676,1684855718910331648
3102,325,0.01,344,309,0,0,0,268174059,1684855718776642560
3103,325,0.01,344,302,0,0,0,266792227,1684855653292415488
3104,325,0.01,375,309,0,0,0,266512847,1684855642144344064
3105,325,0.01,347,313,0,0,0,266471344,1684855641682724608
3106,325,0.01,347,300,0,0,0,266138533,1684855629051729408
3107,325,0.01,316,313,0,0,0,266117377,1684855628929778176
3108,325,0.01,375,313,0,0,0,265872639,1684855615711608320
3109,325,0.01,344,301,0,0,0,265845540,1684855615541910272
3110,325,0.01,347,313,0,0,0,264707016,1684855574136674560
3111,325,0.01,375,301,0,0,0,264396313,1684855566041047552
3112,325,0.01,375,309,0,0,0,264209547,1684855560233528320
3113,325,0.01,347,304,0,0,0,263843824,1684855546707554304
3114,325,0.01,375,323,0,0,0,263552219,1684855538874082304
3115,325,0.01,344,309,0,0,0,263507838,1684855538512239616
3116,325,0.01,347,313,0,0,0,263299158,1684855533767390464
3117,325,0.01,347,315,0,0,0,263225410,1684855533179075072
3118,325,0.01,347,322,0,0,0,262865257,1684855525320557824
3119,325,0.01,375,313,0,0,0,262748779,1684855520940768512
3120,325,0.01,347,313,0,0,0,262436036,1684855507132679680
3121,325,0.01,344,322,0,0,0,262081710,1684855496638535936
3122,325,0.01,347,313,0,0,0,261995618,1684855495898930944
3123,325,0.01,347,300,0,0,0,261185672,1684855454030249728
3124,325,0.01,386,309,0,0,0,261034323,1684855450350661632
3125,325,0.01,355,315,0,0,0,261014523,1684855450220235520
3126,325,0.01,386,313,0,0,0,260792883,1684855445592624128
3127,325,0.01,347,313,0,0,0,260716100,1684855443300207104
3128,325,0.01,355,309,0,0,0,260105634,1684855411101605888
3129,325,0.01,347,322,0,0,0,259887782,1684855405918370816
3130,325,0.01,347,309,0,0,0,259606123,1684855401357184256
3131,325,0.01,355,309,0,0,0,259472215,1684855400321954560
